Model,Test RMSE,Test Profit
Linear Regression,813.8454043416308,46600653.749891065
Decision Tree (RMSE),769.1770094560193,51670546.20254774
Decision Tree (Profit),771.8638659145544,51641365.846465714
Neural Network (RMSE),722.9403779672563,55949182.590368606
Neural Network (Profit),722.7273902982802,56760761.33391159
